Player_Name,Kaggle_Match_Name,Player_Type,IPL_Team_2025,DEBUT,Total_Innings,Total_Runs,Total_Balls_Faced,Total_Minutes,Dismissals,Times_Not_Out,Batting_Average,Strike_Rate,Avg_Runs_Per_Innings,Avg_Balls_Per_Innings,Avg_Minutes_Per_Innings,Count_30_Plus,Count_50_Plus,Count_70_Plus,Highest_Score,Most_Fours_Innings,Most_Sixes_Innings,Total_Fours,Total_Sixes,Total_Boundaries,Boundary_Runs,Boundary_Percentage,Boundary_Frequency,Fours_Per_Innings,Sixes_Per_Innings,Four_to_Six_Ratio,Balls_Per_Four,Balls_Per_Six,Balls_Per_Boundary,Non_Boundary_Runs,Non_Boundary_Balls,Rotation_Strike_Rate,Estimated_Dot_Balls,Dot_Ball_Percentage,Runs_Std_Deviation,Runs_CV,Percentage_30_Plus,Percentage_50_Plus,Percentage_70_Plus,Conversion_30_to_50,Conversion_50_to_70,Percentage_Single_Digit,Percentage_Duck,Powerplay_Runs,Powerplay_Balls,Powerplay_SR,Powerplay_Contribution,Death_Overs_Runs,Death_Overs_Balls,Death_Overs_SR,Death_Overs_Contribution,Impact_Score
Matthew Breetzke,,Batter,LSG,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rajvardhan Hangargekar,,All-Rounder,LSG,YES,7,40,30,0,3,4,13.33,133.33,0,0,0,0,0,0,12,1,1,2,3,5,22,0,0,0,0,0,0,0,0,18,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yuvraj Chaudhary,,All-Rounder,LSG,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bevon Jacobs,,Batter,MI,YES,23,522,377,0,18,5,29,138.46,0,0,0,9,2,1,90,6,5,34,30,64,316,0,0,0,0,0,0,0,0,206,313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Robin Minz,,WK-Batter,MI,YES,8,73,52,0,6,2,12.16,140.38,0,0,0,2,0,0,36,3,1,8,3,11,42,0,0,0,0,0,0,0,0,31,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ryan Rickelton,,WK-Batter,MI,YES,18,381,284,0,18,0,21.16,134.15,0,0,0,6,2,1,76,7,5,30,20,50,240,0,0,0,0,0,0,0,0,141,234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shrijith Krishnan,,WK-Batter,MI,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jacob Bethell,,All-Rounder,RCB,YES,18,392,252,0,13,5,30.15,155.55,0,0,0,5,2,0,62,5,4,27,26,53,264,0,0,0,0,0,0,0,0,128,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manoj Bhandage,,All-Rounder,RCB,YES,16,188,145,0,13,3,14.46,129.65,0,0,2,0,0,0,41,3,3,9,12,21,98,0,0,0,0,0,0,0,0,110,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Swastik Chhikara,,Batter,RCB,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kunal Rathore,,WK-Batter,RR,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lhuan-dre Pretorius,,Batter,RR,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vaibhav Suryavanshi,,Batter,RR,YES,7,279,117,0,7,0,37.92,222.17,0,0,0,4,1,1,144,8,7,21,27,48,246,0,0,0,0,0,0,0,0,33,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aniket Verma,,Batter,SRH,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brydon Carse,,All-Rounder,SRH,YES,64,792,569,0,46,18,17.21,139.19,0,0,0,5,2,0,58,4,4,47,34,81,392,0,0,0,0,0,0,0,0,400,488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Harsh Dubey,,All-Rounder,SRH,YES,10,130,109,0,7,3,18.57,119.26,0,0,0,3,1,0,53,3,1,14,3,17,74,0,0,0,0,0,0,0,0,59,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kamindu Mendis,,All-Rounder,SRH,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Smaran Ravichandran,,Batter,SRH,YES,7,237,141,0,6,1,39.5,168.08,0,0,0,4,2,0,67,4,3,20,14,34,166,0,0,0,0,0,0,0,0,71,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wiaan Mulder,,All-Rounder,SRH,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aaron Hardie,,All-Rounder,PK,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Harnoor Pannu,,Batter,PK,YES,5,50,56,0,5,0,10,89.28,0,0,0,0,0,0,27,0,2,1,5,2,32,0,0,0,0,0,0,0,0,18,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Josh Inglis,,WK-Batter,PK,YES,11,278,171,0,9,2,30.89,162.57,0,0,0,5,1,1,73,0,0,26,16,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mitch Owen,,Batter,PK,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Musheer Khan,,All-Rounder,PK,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Priyansh Arya,,All-Rounder,PK,YES,24,694,432,0,23,1,29.9,171.59,0,0,0,10,3,2,101,0,7,5,69,43,112,534,0,0,0,0,0,0,0,160,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pyla Avinash,,Batter,PK,YES,7,83,77,0,6,1,13.83,107.79,0,0,0,1,1,0,55,0,3,2,5,5,10,50,0,0,0,0,0,0,0,33,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Suryansh Shedge,,All-Rounder,PK,YES,12,138,63,0,6,6,23,219.04,0,0,0,2,0,0,36,0,2,3,7,13,20,106,0,0,0,0,0,0,0,32,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
