,PLAYER_ID,PLAYER_NAME,PLAYER_TYPE,PLAYER_IPL_TEAM,TOTAL_WICKETS,BOWLING_AVG,ECONOMY_RATE,2WK_HAULS,3WK_HAULS,4WK_HAULS,RUNS_GIVEN,TOTAL_OVERS,TOTAL_DOTS,BEST_FIGURE,STRIKE_RATE,MAIDENS,PP/DEATH_FIG,CATCHES_TAKEN,CATCHES_DROPPED,RUN_OUT_(%),RUNS_SAVED,BOUNDARIES_SAVED
0,36e9ecc2-0b2e-4108-9dac-ab53bfe2423a_IPL,Mitchell Starc,Bowler,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,36e9ecc2-0b2e-4108-9dac-ab53bfe2423a_T20I,Mitchell Starc,Bowler,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,36e9ecc2-0b2e-4108-9dac-ab53bfe2423a_ODI,Mitchell Starc,Bowler,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,36e9ecc2-0b2e-4108-9dac-ab53bfe2423a_STATE_T20,Mitchell Starc,Bowler,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,36e9ecc2-0b2e-4108-9dac-ab53bfe2423a_SMAT_ELITE,Mitchell Starc,Bowler,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,36e9ecc2-0b2e-4108-9dac-ab53bfe2423a_VIJAY_HAZARE,Mitchell Starc,Bowler,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,36e9ecc2-0b2e-4108-9dac-ab53bfe2423a_VINOO_MANKAD,Mitchell Starc,Bowler,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,36e9ecc2-0b2e-4108-9dac-ab53bfe2423a_DULEEP_TROPHY,Mitchell Starc,Bowler,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,36e9ecc2-0b2e-4108-9dac-ab53bfe2423a_RANJI_TROPHY,Mitchell Starc,Bowler,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,36e9ecc2-0b2e-4108-9dac-ab53bfe2423a_BBL,Mitchell Starc,Bowler,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
