Player_Name,Kaggle_Match_Name,Player_Type,IPL_Team_2025,DEBUT,BASE_OVR,TOP_ORDER_OVR,MIDDLE_ORDER_OVR,FINISHER_OVR
Quinton de Kock,Quinton de Kock,WK-Batter,KKR,NO,76.5,83.0,71.5,68.3
Rahmanullah Gurbaz,Rahmanullah Gurbaz,WK-Batter,KKR,NO,72.8,67.5,75.1,67.0
Abdul Samad,Abdul Samad,All-Rounder,LSG,NO,56.2,59.2,55.0,63.5
Arshin Kulkarni,Arshin Kulkarni,All-Rounder,LSG,NO,55.0,55.0,59.0,55.0
Ayush Badoni,Ayush Badoni,All-Rounder,LSG,NO,59.0,55.0,65.6,57.5
Mitchell Marsh,Mitchell Marsh,All-Rounder,LSG,NO,65.0,70.3,62.9,64.4
Rajvardhan Hangargekar,,All-Rounder,LSG,YES,51.2,51.2,55.2,51.2
Shahbaz Ahmed,Shahbaz Ahmed,All-Rounder,LSG,NO,55.0,55.0,59.8,58.8
Shardul Thakur,Shardul Thakur,All-Rounder,LSG,NO,64.7,60.1,71.6,65.6
Yuvraj Chaudhary,,All-Rounder,LSG,YES,51.2,51.2,55.2,51.2
Aiden Markram,Aiden Markram,Batter,LSG,NO,63.7,55.2,66.6,60.2
David Miller,David Miller,Batter,LSG,NO,73.3,64.7,69.3,70.7
Himmat Singh,,Batter,LSG,YES,72.3,61.8,69.9,63.1
Matthew Breetzke,,Batter,LSG,YES,51.2,51.2,55.2,51.2
Aryan Juyal,,WK-Batter,LSG,YES,74.6,66.9,71.9,62.5
Nicholas Pooran,Nicholas Pooran,WK-Batter,LSG,NO,76.6,74.3,71.9,88.4
Rishabh Pant,Rishabh Pant,WK-Batter,LSG,NO,71.5,68.8,76.1,70.4
Hardik Pandya,Hardik Pandya,All-Rounder,MI,NO,66.3,63.1,69.8,64.0
Mitchell Santner,Mitchell Santner,All-Rounder,MI,NO,55.0,55.0,59.0,55.0
Naman Dhir,Naman Dhir,All-Rounder,MI,NO,63.1,55.0,59.0,55.4
Raj Bawa,Raj Bawa,All-Rounder,MI,NO,55.0,55.0,59.0,55.0
Will Jacks,Will Jacks,All-Rounder,MI,NO,93.6,86.4,90.6,88.8
Bevon Jacobs,,Batter,MI,YES,69.5,67.4,57.9,64.7
Rohit Sharma,Rohit Sharma,Batter,MI,NO,63.3,65.1,56.1,67.7
Suryakumar Yadav,Suryakumar Yadav,Batter,MI,NO,88.3,82.1,88.9,83.8
Tilak Varma,Tilak Varma,Batter,MI,NO,75.8,75.2,77.5,77.2
Jonny Bairstow,Jonny Bairstow,WK-Batter,MI,NO,72.0,77.1,67.4,72.8
Robin Minz,,WK-Batter,MI,YES,63.4,52.8,55.2,59.6
Ryan Rickelton,,WK-Batter,MI,YES,63.6,67.8,53.6,59.1
Shrijith Krishnan,,WK-Batter,MI,YES,51.2,51.2,58.7,51.2
Aaron Hardie,,All-Rounder,PK,YES,51.2,51.2,55.2,51.2
Azmatullah Omarzai,Azmatullah Omarzai,All-Rounder,PK,NO,56.5,55.0,59.0,55.0
Glenn Maxwell,Glenn Maxwell,All-Rounder,PK,NO,80.5,76.7,82.9,79.7
Harpreet Brar,Harpreet Brar,All-Rounder,PK,NO,55.0,55.0,59.0,59.0
Marco Jansen,Marco Jansen,All-Rounder,PK,NO,55.0,55.0,59.0,55.0
Marcus Stoinis,Marcus Stoinis,All-Rounder,PK,NO,77.0,75.0,76.5,75.7
Musheer Khan,,All-Rounder,PK,YES,51.2,51.2,55.2,51.2
Priyansh Arya,,All-Rounder,PK,YES,83.7,83.0,72.3,82.1
Suryansh Shedge,,All-Rounder,PK,YES,74.2,54.1,63.0,57.0
Harnoor Pannu,,Batter,PK,YES,53.4,51.2,55.2,51.2
Mitch Owen,,Batter,PK,YES,51.2,51.2,55.2,51.2
Nehal Wadhera,Nehal Wadhera,Batter,PK,NO,77.5,62.7,61.2,68.8
Pyla Avinash,,Batter,PK,YES,51.5,51.2,57.7,51.2
Shashank Singh,Shashank Singh,Batter,PK,NO,81.2,75.1,81.9,77.6
Shreyas Iyer,Shreyas Iyer,Batter,PK,NO,64.1,60.2,67.6,64.2
Josh Inglis,,WK-Batter,PK,YES,90.2,93.7,68.4,79.7
