Player_Name,2025_Name,Matched_FullName,Player_Type,IPL_Team_2025,Batting_Innings,Bowling_Innings,Total_Innings,Match_Confidence,Match_Type
MM Sharma,Mohit Sharma,Mohit Sharma,Bowler,DC,4,25,29,1.0,exact_fullname_variation
M Theekshana,Maheesh Theekshana,Maheesh Theekshana,Bowler,RR,2,25,27,1.0,exact_variation
MK Lomror,Mahipal Lomror,Mahipal Lomror,All-Rounder,GT,22,5,27,1.0,exact_fullname_variation
Prabhsimran Singh,Prabhsimran Singh,Prabhsimran Singh,WK-Batter,PK,27,0,27,1.0,exact_variation
Yash Dayal,Yash Dayal,Yash Dayal,Bowler,RCB,1,25,26,1.0,exact_variation
JD Unadkat,Jaydev Unadkat,Jaydev Unadkat,Bowler,SRH,9,17,26,1.0,exact_fullname_variation
MA Agarwal,Mayank Agarwal,Mayank Agarwal,Batter,RCB,26,0,26,1.0,exact_fullname_variation
SS Iyer,Shreyas Iyer,Shreyas Iyer,Batter,PK,25,1,26,1.0,exact_fullname_variation
VG Arora,Vaibhav Arora,Vaibhav Arora,Bowler,KKR,8,17,25,1.0,exact_fullname_variation
VG Arora,Vaibhav Arora,Vaibhav Arora,Bowler,KKR,8,17,25,1.0,exact_fullname_variation
B Sai Sudharsan,Sai Sudharsan,Sai Sudharsan,All-Rounder,GT,25,0,25,1.0,exact_fullname_variation
RR Pant,Rishabh Pant,Rishabh Pant,WK-Batter,LSG,25,0,25,1.0,exact_fullname_variation
V Shankar,Tripurana Vijay,Vijay Shankar,All-Rounder,DC,21,2,23,0.857,fuzzy_comprehensive
V Shankar,Tripurana Vijay,Vijay Shankar,All-Rounder,DC,21,2,23,0.857,fuzzy_comprehensive
M Markande,Mayank Markande,Mayank Markande,Bowler,KKR,3,19,22,1.0,exact_variation
Mukesh Kumar,Mukesh Kumar,Mukesh Kumar,Bowler,DC,4,18,22,1.0,exact_variation
H Klaasen,Heinrich Klaasen,Heinrich Klaasen,WK-Batter,SRH,22,0,22,1.0,exact_variation
Mukesh Kumar,Mukesh Kumar,Mukesh Kumar,Bowler,DC,4,18,22,1.0,exact_variation
DP Conway,Devon Conway,Devon Conway,Batter,CSK,22,0,22,1.0,exact_fullname_variation
JM Bairstow,Jonny Bairstow,Jonny Bairstow,WK-Batter,MI,21,0,21,1.0,exact_fullname_variation
JR Hazlewood,Josh Inglis,Josh Hazlewood,WK-Batter,PK,6,15,21,0.833,fuzzy_comprehensive
PVD Chameera,Dushmantha Chameera,Dushmantha Chameera,Bowler,DC,8,13,21,1.0,exact_fullname_variation
