PLAYER_ID,PLAYER_NAME,PLAYER_TYPE,PLAYER_IPL_TEAM,TOTAL_WICKETS,BOWLING_AVG,ECONOMY_RATE,2WK_HAULS,3WK_HAULS,4WK_HAULS,RUNS_GIVEN,TOTAL_OVERS,TOTAL_DOTS,BEST_FIGURE,STRIKE_RATE,MAIDENS,PP/DEATH_FIG,CATCHES_TAKEN,CATCHES_DROPPED,RUN_OUT_(%),RUNS_SAVED,BOUNDARIES_SAVED
3ad12db9-6081-4852-ab64-69c516f10c34_DULEEP_TROPHY,T. Natarajan,Bowler,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3ad12db9-6081-4852-ab64-69c516f10c34_RANJI_TROPHY,T. Natarajan,Bowler,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3ad12db9-6081-4852-ab64-69c516f10c34_BBL,T. Natarajan,Bowler,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3ad12db9-6081-4852-ab64-69c516f10c34_CPL,T. Natarajan,Bowler,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3ad12db9-6081-4852-ab64-69c516f10c34_SA20,T. Natarajan,Bowler,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3ad12db9-6081-4852-ab64-69c516f10c34_ILT20,T. Natarajan,Bowler,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
e405dbe0-ab82-4648-a822-b03647822457_IPL,Mohit Sharma,Bowler,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
e405dbe0-ab82-4648-a822-b03647822457_T20I,Mohit Sharma,Bowler,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
e405dbe0-ab82-4648-a822-b03647822457_ODI,Mohit Sharma,Bowler,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
e405dbe0-ab82-4648-a822-b03647822457_STATE_T20,Mohit Sharma,Bowler,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
e405dbe0-ab82-4648-a822-b03647822457_SMAT_ELITE,Mohit Sharma,Bowler,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
e405dbe0-ab82-4648-a822-b03647822457_VIJAY_HAZARE,Mohit Sharma,Bowler,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
e405dbe0-ab82-4648-a822-b03647822457_VINOO_MANKAD,Mohit Sharma,Bowler,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
e405dbe0-ab82-4648-a822-b03647822457_DULEEP_TROPHY,Mohit Sharma,Bowler,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
e405dbe0-ab82-4648-a822-b03647822457_RANJI_TROPHY,Mohit Sharma,Bowler,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
e405dbe0-ab82-4648-a822-b03647822457_BBL,Mohit Sharma,Bowler,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
e405dbe0-ab82-4648-a822-b03647822457_CPL,Mohit Sharma,Bowler,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
e405dbe0-ab82-4648-a822-b03647822457_SA20,Mohit Sharma,Bowler,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
e405dbe0-ab82-4648-a822-b03647822457_ILT20,Mohit Sharma,Bowler,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80a4374d-d0fc-40ae-b69b-5695078ef36f_IPL,Mukesh Kumar,Bowler,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80a4374d-d0fc-40ae-b69b-5695078ef36f_T20I,Mukesh Kumar,Bowler,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80a4374d-d0fc-40ae-b69b-5695078ef36f_ODI,Mukesh Kumar,Bowler,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80a4374d-d0fc-40ae-b69b-5695078ef36f_STATE_T20,Mukesh Kumar,Bowler,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80a4374d-d0fc-40ae-b69b-5695078ef36f_SMAT_ELITE,Mukesh Kumar,Bowler,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80a4374d-d0fc-40ae-b69b-5695078ef36f_VIJAY_HAZARE,Mukesh Kumar,Bowler,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80a4374d-d0fc-40ae-b69b-5695078ef36f_VINOO_MANKAD,Mukesh Kumar,Bowler,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80a4374d-d0fc-40ae-b69b-5695078ef36f_DULEEP_TROPHY,Mukesh Kumar,Bowler,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80a4374d-d0fc-40ae-b69b-5695078ef36f_RANJI_TROPHY,Mukesh Kumar,Bowler,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80a4374d-d0fc-40ae-b69b-5695078ef36f_BBL,Mukesh Kumar,Bowler,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80a4374d-d0fc-40ae-b69b-5695078ef36f_CPL,Mukesh Kumar,Bowler,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80a4374d-d0fc-40ae-b69b-5695078ef36f_SA20,Mukesh Kumar,Bowler,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80a4374d-d0fc-40ae-b69b-5695078ef36f_ILT20,Mukesh Kumar,Bowler,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fd1862df-f571-4d79-88a1-93b2a80a49ac_IPL,Dushmantha Chameera,Bowler,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fd1862df-f571-4d79-88a1-93b2a80a49ac_T20I,Dushmantha Chameera,Bowler,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fd1862df-f571-4d79-88a1-93b2a80a49ac_ODI,Dushmantha Chameera,Bowler,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fd1862df-f571-4d79-88a1-93b2a80a49ac_STATE_T20,Dushmantha Chameera,Bowler,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fd1862df-f571-4d79-88a1-93b2a80a49ac_SMAT_ELITE,Dushmantha Chameera,Bowler,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fd1862df-f571-4d79-88a1-93b2a80a49ac_VIJAY_HAZARE,Dushmantha Chameera,Bowler,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fd1862df-f571-4d79-88a1-93b2a80a49ac_VINOO_MANKAD,Dushmantha Chameera,Bowler,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fd1862df-f571-4d79-88a1-93b2a80a49ac_DULEEP_TROPHY,Dushmantha Chameera,Bowler,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fd1862df-f571-4d79-88a1-93b2a80a49ac_RANJI_TROPHY,Dushmantha Chameera,Bowler,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fd1862df-f571-4d79-88a1-93b2a80a49ac_BBL,Dushmantha Chameera,Bowler,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fd1862df-f571-4d79-88a1-93b2a80a49ac_CPL,Dushmantha Chameera,Bowler,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fd1862df-f571-4d79-88a1-93b2a80a49ac_SA20,Dushmantha Chameera,Bowler,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fd1862df-f571-4d79-88a1-93b2a80a49ac_ILT20,Dushmantha Chameera,Bowler,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6288c418-c1df-4b96-8f81-9565b87007f4_IPL,Kuldeep Yadav,Bowler,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6288c418-c1df-4b96-8f81-9565b87007f4_T20I,Kuldeep Yadav,Bowler,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6288c418-c1df-4b96-8f81-9565b87007f4_ODI,Kuldeep Yadav,Bowler,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6288c418-c1df-4b96-8f81-9565b87007f4_STATE_T20,Kuldeep Yadav,Bowler,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6288c418-c1df-4b96-8f81-9565b87007f4_SMAT_ELITE,Kuldeep Yadav,Bowler,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6288c418-c1df-4b96-8f81-9565b87007f4_VIJAY_HAZARE,Kuldeep Yadav,Bowler,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6288c418-c1df-4b96-8f81-9565b87007f4_VINOO_MANKAD,Kuldeep Yadav,Bowler,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6288c418-c1df-4b96-8f81-9565b87007f4_DULEEP_TROPHY,Kuldeep Yadav,Bowler,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6288c418-c1df-4b96-8f81-9565b87007f4_RANJI_TROPHY,Kuldeep Yadav,Bowler,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6288c418-c1df-4b96-8f81-9565b87007f4_BBL,Kuldeep Yadav,Bowler,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6288c418-c1df-4b96-8f81-9565b87007f4_CPL,Kuldeep Yadav,Bowler,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6288c418-c1df-4b96-8f81-9565b87007f4_SA20,Kuldeep Yadav,Bowler,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
