Player_Name,Kaggle_Match_Name,Overall_SR,Overall_Avg,Overall_Boundary_Pct,Balls_vs_Pace,Innings_vs_Pace,SR_vs_Pace,Avg_vs_Pace,Boundary_Pct_vs_Pace,Deviation_vs_Pace,Confidence_vs_Pace,Balls_vs_Spin,Innings_vs_Spin,SR_vs_Spin,Avg_vs_Spin,Boundary_Pct_vs_Spin,Deviation_vs_Spin,Confidence_vs_Spin,Pace_Advantage
Riyan Parag,Riyan Parag,141.07,23.94,62.03,282,28,157.8,34.23,21.63,0.115,0.95,158,18,127.22,50.25,11.39,-0.105,0.888,0.221
Rohit Sharma,Rohit Sharma,132.41,24.36,68.32,449,38,137.42,28.05,20.49,0.035,0.95,155,19,129.03,15.38,16.77,-0.026,0.885,0.06
Romario Shepherd,Romario Shepherd,183.87,22.8,77.19,29,6,175.86,17.0,24.14,0.0,0.0,20,3,120.0,24.0,15.0,0.0,0.0,0.0
Rovman Powell,Rovman Powell,152.51,19.65,70.06,76,12,173.68,18.86,25.0,0.146,0.59,70,14,107.14,12.5,10.0,-0.345,0.501,0.491
Ruturaj Gaikwad,Ruturaj Gaikwad,139.66,41.04,60.82,642,38,141.74,47.89,19.16,0.014,0.95,267,26,138.95,37.1,14.98,-0.005,0.95,0.02
Sai Kishore,Sai Kishore,216.67,13.0,92.31,6,1,283.33,17.0,33.33,0.0,0.0,0,0,0.0,0.0,,0.0,0.0,0.0
Sai Sudharsan,Sai Sudharsan,139.17,47.0,54.74,396,24,131.31,34.67,15.91,-0.054,0.95,236,23,147.46,116.0,14.83,0.063,0.95,-0.117
Sam Curran,Sam Curran,130.37,24.0,53.03,183,20,128.96,19.67,15.3,-0.01,0.913,159,18,116.98,31.0,10.06,-0.102,0.889,0.092
Sameer Rizvi,Sameer Rizvi,102.86,9.0,44.44,14,4,71.43,3.33,7.14,0.0,0.0,21,3,123.81,26.0,9.52,0.0,0.0,0.0
Sanju Samson,Sanju Samson,149.16,37.77,65.8,396,39,151.52,35.29,22.73,0.016,0.95,276,31,159.78,63.0,19.2,0.081,0.95,-0.065
