,PLAYER_ID,PLAYER_NAME,PLAYER_TYPE,PLAYER_IPL_TEAM,TOTAL_RUNS,BATTING_AVG,30+RUNS,50+RUNS,70+RUNS,S/R_vs_SPIN,S/R_vs_PACE,HIGHEST_SCORED,NOT_OUTS,BOUNDARY_%,DOT_BALLS_%,BALLS_FACED,CATCHES_TAKEN,CATCHES_DROPPED,RUN_OUT_(%),RUNS_SAVED,BOUNDARIES_SAVED,CAUGHT_BEHIND,STUMPING,RUN_OUTS
585,62e8b4cc-5cbf-4d60-8695-e62952ecd6a5_IPL,Rachin Ravindra,All-Rounder,CSK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
586,62e8b4cc-5cbf-4d60-8695-e62952ecd6a5_T20I,Rachin Ravindra,All-Rounder,CSK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
587,62e8b4cc-5cbf-4d60-8695-e62952ecd6a5_ODI,Rachin Ravindra,All-Rounder,CSK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
588,62e8b4cc-5cbf-4d60-8695-e62952ecd6a5_STATE_T20,Rachin Ravindra,All-Rounder,CSK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
589,62e8b4cc-5cbf-4d60-8695-e62952ecd6a5_SMAT_ELITE,Rachin Ravindra,All-Rounder,CSK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
590,62e8b4cc-5cbf-4d60-8695-e62952ecd6a5_VIJAY_HAZARE,Rachin Ravindra,All-Rounder,CSK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
591,62e8b4cc-5cbf-4d60-8695-e62952ecd6a5_VINOO_MANKAD,Rachin Ravindra,All-Rounder,CSK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
592,62e8b4cc-5cbf-4d60-8695-e62952ecd6a5_DULEEP_TROPHY,Rachin Ravindra,All-Rounder,CSK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
593,62e8b4cc-5cbf-4d60-8695-e62952ecd6a5_RANJI_TROPHY,Rachin Ravindra,All-Rounder,CSK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
594,62e8b4cc-5cbf-4d60-8695-e62952ecd6a5_BBL,Rachin Ravindra,All-Rounder,CSK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
